Date,Time,Detection Area,Quadrant,Center X,Center Y,Object Area,Closest Point X,Closest Point Y,Distance,Angle from Center,Angle from Closest,New Angle,
07/05/2023,18:20:47,3,RIGHT,390,202,160.5,388,210,129.3213052826177,-75.0414,-145.3591,0.0,
07/05/2023,18:20:47,2,RIGHT,342,244,1085.5,330,258,62.80127387243033,-84.2894,-114.8293,881.32,
07/05/2023,18:20:47,3,RIGHT,376,201,529.0,358,210,116.37869220780924,-77.9797,-136.0609,0.0,
07/05/2023,18:20:47,2,RIGHT,348,242,1201.0,323,253,67.06713054842886,-82.8115,-115.416,834.99,
07/05/2023,18:20:47,3,RIGHT,377,201,518.5,360,210,117.04699910719626,-77.7714,-136.606,0.0,
07/05/2023,18:20:47,2,RIGHT,346,240,975.5,325,251,69.18092222571191,-83.3792,-116.3999,819.5,
07/05/2023,18:20:47,3,RIGHT,382,201,596.5,365,210,118.84864324004712,-76.7352,-138.0128,0.0,
07/05/2023,18:20:47,2,RIGHT,350,241,1244.0,328,251,69.46221994724903,-82.338,-116.9011,816.01,
07/05/2023,18:20:47,3,RIGHT,391,200,514.5,368,202,127.38916751435343,-74.9471,-140.8696,0.0,
07/05/2023,18:20:47,2,RIGHT,351,244,1527.0,328,260,60.530983801686226,-81.9793,-113.8059,845.57,
07/05/2023,18:20:47,3,RIGHT,396,202,573.0,383,210,126.763559432512,-73.8238,-143.6334,0.0,
07/05/2023,18:20:48,2,RIGHT,351,241,1349.5,328,256,64.4980619863884,-82.0858,-115.2011,812.07,
07/05/2023,18:20:48,3,RIGHT,397,202,472.0,390,212,128.70120434556935,-73.6223,-145.5816,0.0,
07/05/2023,18:20:48,2,RIGHT,353,237,1029.5,328,248,72.44308110509934,-81.7286,-117.8973,763.34,
07/05/2023,18:20:48,2,RIGHT,352,239,1370.5,328,251,69.46221994724903,-81.9056,-116.9011,787.08,
07/05/2023,18:20:48,2,RIGHT,355,233,1454.5,345,251,73.38937252763509,-81.3844,-120.1065,719.25,
07/05/2023,18:20:48,3,LEFT,303,214,110.5,304,219,102.25947388873072,-93.8901,-122.2622,0.0,
07/05/2023,18:20:48,3,RIGHT,399,201,157.5,398,210,134.84806264830058,-73.2808,-149.0362,0.0,
07/05/2023,18:20:48,3,RIGHT,567,194,165.0,553,198,263.00760445279906,-47.5473,143.8889,0.0,
07/05/2023,18:20:48,2,RIGHT,355,233,1594.5,325,246,74.16872656315464,-81.3844,-118.0297,719.25,
07/05/2023,18:20:48,3,RIGHT,402,202,186.5,400,210,136.01470508735443,-72.6211,-149.8084,0.0,
07/05/2023,18:20:48,2,RIGHT,356,232,1337.5,345,246,78.10889834071403,-81.1796,-121.8754,707.25,
07/05/2023,18:20:48,3,RIGHT,404,197,363.0,395,205,137.2953021774598,-72.5361,-149.0362,0.0,
07/05/2023,18:20:48,2,RIGHT,357,227,1098.0,343,239,84.20213774008353,-81.1267,-123.7992,663.32,
07/05/2023,18:20:48,3,RIGHT,407,189,189.0,385,190,145.34441853748632,-72.4445,-148.7133,0.0,
07/05/2023,18:20:48,3,LEFT,319,192,491.5,309,210,110.54863183232979,-90.2106,-125.3625,0.0,
07/05/2023,18:20:48,2,RIGHT,358,224,942.0,345,236,87.64131445842195,-81.0029,-125.2176,637.93,
07/05/2023,18:20:48,3,RIGHT,411,189,111.0,403,190,154.23683088030563,-71.6902,-154.8626,0.0,
07/05/2023,18:20:48,2,RIGHT,362,224,1143.0,345,236,87.64131445842195,-80.0738,-125.2176,626.98,
07/05/2023,18:20:48,2,LEFT,313,200,418.0,307,217,103.81714694596457,-91.5189,-123.2669,966.34,
07/05/2023,18:20:48,2,LEFT,261,200,2293.5,279,222,106.23088063270491,-102.5977,-117.9115,907.19,
07/05/2023,18:20:49,2,RIGHT,359,233,1219.5,340,246,76.6550715869472,-80.4171,-120.8277,705.59,
07/05/2023,18:20:49,3,RIGHT,526,200,201.5,493,202,209.41107898103195,-52.035,166.1925,0.0,
07/05/2023,18:20:49,3,RIGHT,410,200,239.5,413,212,142.52368224263643,-71.1753,-154.7223,0.0,
07/05/2023,18:20:49,2,RIGHT,362,236,1336.0,343,253,70.83784299369935,-79.5625,-118.9741,719.75,
07/05/2023,18:20:49,3,RIGHT,413,203,417.0,400,210,136.01470508735443,-70.3879,-149.8084,0.0,
07/05/2023,18:20:49,2,RIGHT,364,237,1177.0,348,253,72.61542535852834,-79.0302,-120.0101,720.03,
07/05/2023,18:20:49,3,RIGHT,413,203,360.5,400,210,136.01470508735443,-70.3879,-149.8084,0.0,
07/05/2023,18:20:49,3,RIGHT,328,194,110.0,328,202,118.27087553578015,-88.3028,-130.9464,0.0,
07/05/2023,18:20:49,2,RIGHT,364,237,1245.0,345,253,71.5122367151245,-79.0302,-119.3806,720.03,
07/05/2023,18:20:49,3,RIGHT,416,202,285.5,405,210,139.01438774457844,-69.8765,-151.7925,0.0,
07/05/2023,18:20:49,2,RIGHT,367,234,1185.5,345,248,76.21679604916491,-78.4507,-121.1757,683.75,
07/05/2023,18:20:49,3,RIGHT,415,202,120.5,415,212,143.83671297690307,-70.0696,-155.596,0.0,
07/05/2023,18:20:49,2,RIGHT,372,239,1185.0,345,248,76.21679604916491,-76.9868,-121.1757,700.71,
